"MAKEID","MODELID","ODSMAKEID","ODSMODELID"
"20000065","20000727","20065","21923"
"20000065","20000739","20065","21935"
"20000065","20000740","20065","21936"
"20000065","20000760","20065","21957"
"20000065","20000762","20065","21959"
"20000065","20000764","20065","21961"
"20000065","20000786","20065","21983"
"20000065","20000787","20065","21984"
"20000065","20001061","20065","22260"
"20000065","20001179","20065","20233"
"20000065","20001180","20065","20234"
"20000065","20001181","20065","20235"
"20000065","20001182","20065","20236"
"20000065","20001186","20065","20240"
"20000065","20001189","20065","20243"
"20000065","20001190","20065","20244"
"20000065","20001195","20065","20249"
"20000065","20001196","20065","20250"
"20000065","20001198","20065","20252"
"20000065","20001199","20065","20253"
"20000065","20001201","20065","20255"
"20000065","20001204","20065","20258"
"20000065","20001207","20065","20261"
"20000065","20001209","20065","20263"
"20000065","20001210","20065","20264"
"20000065","20001211","20065","20265"
"20000065","20001214","20065","20268"
"20000065","20001232","20065","20286"
"20000065","20001234","20065","20288"
"20000065","20001291","20065","20345"
"20000065","20001500","20065","20555"
"20000065","20001506","20065","20561"
"20000065","20001523","20065","20578"
"20000065","20001534","20065","20589"
"20000065","20001539","20065","20594"
"20000065","20001545","20065","20600"
"20000065","20001546","20065","20601"
"20000065","20001549","20065","20604"
"20000065","20001613","20065","20670"
"20000065","20001615","20065","20672"
"20000065","20001617","20065","20674"
"20000065","20001618","20065","20675"
"20000065","20001619","20065","20676"
"20000065","20001620","20065","20677"
"20000065","20001621","20065","20678"
"20000065","20001623","20065","20680"
"20000065","20001661","20065","20718"
"20000065","20001663","20065","20720"
"20000065","20001665","20065","20722"
"20000065","20001666","20065","20723"
"20000065","20001667","20065","20724"
"20000065","20001668","20065","20725"
"20000065","20001669","20065","20726"
"20000065","20001670","20065","20727"
"20000065","20001672","20065","20729"
"20000065","20001673","20065","20730"
"20000065","20001675","20065","20732"
"20000065","20001677","20065","20734"
"20000065","20001679","20065","20736"
"20000065","20001681","20065","20738"
"20000065","20001683","20065","20740"
"20000065","20001685","20065","20742"
"20000065","20001686","20065","20743"
"20000065","20001687","20065","20744"
"20000065","20001708","20065","20765"
"20000065","20001720","20065","20777"
"20000065","20001861","20065","20919"
"20000065","20001863","20065","20921"
"20000065","20001868","20065","20926"
"20000065","20001869","20065","20927"
"20000065","20001870","20065","20928"
"20000065","20001871","20065","20929"
"20000065","20001872","20065","20930"
"20000065","20001873","20065","20931"
"20000065","20001874","20065","20932"
"20000065","20001876","20065","20934"
"20000065","20001877","20065","20935"
"20000065","20001879","20065","20937"
"20000065","20001881","20065","20939"
"20000065","20001882","20065","20940"
"20000065","20001884","20065","20942"
"20000065","20001886","20065","20944"
"20000065","20001954","20065","21012"
"20000065","20002032","20065","21091"
"20000065","20002196","20065","21256"
"20000065","20002228","20065","21288"
"20000065","20002230","20065","21290"
"20000065","20002232","20065","21292"
"20000065","20002234","20065","21294"
"20000065","20002236","20065","21296"
"20000065","20002238","20065","21298"
"20000066","20000232","20066","21426"
"20000066","20000236","20066","21430"
"20000066","20000238","20066","21432"
"20000066","20000240","20066","21434"
"20000066","20000242","20066","21436"
"20000066","20000259","20066","21453"
"20000066","20000267","20066","21461"
"20000066","20000656","20066","21851"
"20000066","20000940","20066","22138"
"20000066","20001025","20066","22224"
"20000066","20001109","20066","22308"
"20000066","20001116","20066","22315"
"20000066","20001121","20066","22320"
"20000066","20001123","20066","22322"
"20000066","20001124","20066","22323"
"20000066","20001125","20066","22324"
"20000066","20001126","20066","22325"
"20000066","20001127","20066","22326"
"20000066","20001128","20066","22327"
"20000066","20001155","20066","22354"
"20000066","20001248","20066","20302"
"20000066","20001356","20066","20411"
"20000066","20001357","20066","20412"
"20000066","20001414","20066","20469"
"20000066","20001875","20066","20933"
"20000066","20002248","20066","22382"
"20000066","20002249","20066","22383"
"20000066","20002250","20066","22384"
"20000066","20002251","20066","22385"
"20000066","20002252","20066","22386"
"20000066","20002253","20066","22387"
"20000066","20002254","20066","22388"
"20000066","20002616","20066","58107"
"20000066","20002621","20066","58489"
"20000066","30038756","20066","30038756"
"20000067","20000110","20067","21302"
"20000067","20000126","20067","21318"
"20000067","20001424","20067","20479"
"20000067","20001674","20067","20731"
"20000067","20002143","20067","21203"
"20000067","20002207","20067","21267"
"20000068","20000546","20068","21740"
"20000068","20000633","20068","21828"
"20000068","20000645","20068","21840"
"20000068","20000690","20068","21885"
"20000068","20000773","20068","21970"
"20000068","20000777","20068","21974"
"20000068","20000886","20068","22084"
"20000068","20000892","20068","22090"
"20000068","20000897","20068","22095"
"20000068","20000963","20068","22161"
"20000068","20001574","20068","20629"
"20000068","20001654","20068","20711"
"20000068","20002346","20068","27761"
"20000068","20002352","20068","28323"
"20000068","20002363","20068","32883"
"20000068","20002422","20068","40463"
"20000068","20002523","20068","52087"
"20000068","20002576","20068","56013"
"20000068","20002592","20068","56687"
"20000068","33910101","20068","33910101"
"20000068","36293408","20068","36293408"
"20000068","36296927","20068","36296927"
"20000069","20000114","20069","21306"
"20000069","20000121","20069","21313"
"20000069","20000123","20069","21315"
"20000069","20000273","20069","21467"
"20000069","20000489","20069","21683"
"20000069","20000913","20069","22111"
"20000069","20001045","20069","22244"
"20000069","20001360","20069","20415"
"20000069","20001370","20069","20425"
"20000069","20001819","20069","20877"
"20000069","20001936","20069","20994"
"20000069","20002013","20069","21072"
"20000069","20002033","20069","21092"
"20000069","20002135","20069","21195"
"20000069","20002214","20069","21274"
"20000069","20002216","20069","21276"
"20000069","20002444","20069","42843"
"20000069","20002464","20069","47043"
"20000069","20002597","20069","56867"
"20000070","20000145","20070","21337"
"20000070","20000147","20070","21339"
"20000070","20000161","20070","21353"
"20000070","20000170","20070","21363"
"20000070","20000171","20070","21364"
"20000070","20000176","20070","21369"
"20000070","20000178","20070","21371"
"20000070","20000590","20070","21785"
"20000070","20000592","20070","21787"
"20000070","20000644","20070","21839"
"20000070","20000646","20070","21841"
"20000070","20000674","20070","21869"
"20000070","20000676","20070","21871"
"20000070","20000729","20070","21925"
"20000070","20001967","20070","21025"
"20000070","20001969","20070","21027"
"20000070","20001984","20070","21043"
"20000070","20001985","20070","21044"
"20000070","20002108","20070","21168"
"20000070","20002110","20070","21170"
"20000070","20002112","20070","21172"
"20000070","20002114","20070","21174"
"20000070","20002136","20070","21196"
"20000070","20002138","20070","21198"
"20000070","20002153","20070","21213"
"20000070","20002179","20070","21239"
"20000070","20002181","20070","21241"
"20000070","20002221","20070","21281"
"20000070","20002229","20070","21289"
"20000070","20002344","20070","27664"
"20000070","20002348","20070","27821"
"20000070","20002358","20070","30465"
"20000070","20002359","20070","30466"
"20000070","20002377","20070","34883"
"20000070","20002385","20070","35029"
"20000070","20002393","20070","35964"
"20000070","20002488","20070","48266"
"20000070","20002588","20070","56307"
"20000070","20002611","20070","57887"
"20000070","20002612","20070","57888"
"20000070","20002613","20070","57928"
"20000070","30023412","20070","30023412"
"20000070","30028219","20070","30028219"
"20000070","30034963","20070","30034963"
"20000070","30035060","20070","30035060"
"20000070","30038753","20070","30038753"
"20000070","33796915","20070","33796915"
"20000070","36293903","20070","36293903"
"20000070","36308889","20070","36308889"
"20000070","36310230","20070","36310230"
"20000071","20000840","20071","22037"
"20000071","20001990","20071","21049"
"20000071","20001997","20071","21056"
"20000071","20001998","20071","21057"
"20000071","20002008","20071","21067"
"20000071","20002010","20071","21069"
"20000071","20002017","20071","21076"
"20000071","20002021","20071","21080"
"20000071","20002025","20071","21084"
"20000071","20002035","20071","21094"
"20000071","20002044","20071","21103"
"20000071","20002374","20071","34703"
"20000071","36282116","20071","36282116"
"20000072","20000150","20072","21342"
"20000072","20000151","20072","21343"
"20000072","20000260","20072","21454"
"20000072","20000308","20072","21502"
"20000072","20000314","20072","21508"
"20000072","20000619","20072","21814"
"20000072","20000725","20072","21921"
"20000072","20000986","20072","22185"
"20000072","20001267","20072","20321"
"20000072","20001396","20072","20451"
"20000072","20001416","20072","20471"
"20000072","20001643","20072","20700"
"20000072","20001647","20072","20704"
"20000072","20001833","20072","20891"
"20000072","20002137","20072","21197"
"20000072","20002156","20072","21216"
"20000072","20002186","20072","21246"
"20000072","20002187","20072","21247"
"20000072","20002205","20072","21265"
"20000072","34226822","20072","34226822"
"20000073","20000213","20073","21407"
"20000073","20000233","20073","21427"
"20000073","20000237","20073","21431"
"20000073","20000252","20073","21446"
"20000073","20000253","20073","21447"
"20000073","20000254","20073","21448"
"20000073","20000256","20073","21450"
"20000073","20000266","20073","21460"
"20000073","20000294","20073","21488"
"20000073","20000296","20073","21490"
"20000073","20000298","20073","21492"
"20000073","20000311","20073","21505"
"20000073","20000315","20073","21509"
"20000073","20000493","20073","21687"
"20000073","20000560","20073","21754"
"20000073","20000581","20073","21775"
"20000073","20000595","20073","21790"
"20000073","20000597","20073","21792"
"20000073","20000599","20073","21794"
"20000073","20000605","20073","21800"
"20000073","20000630","20073","21825"
"20000073","20000653","20073","21848"
"20000073","20000655","20073","21850"
"20000073","20001010","20073","22209"
"20000073","20001101","20073","22300"
"20000073","20001194","20073","20248"
"20000073","20001275","20073","20329"
"20000073","20001388","20073","20443"
"20000073","20001452","20073","20507"
"20000073","20001454","20073","20509"
"20000073","20001463","20073","20518"
"20000073","20001501","20073","20556"
"20000073","20001518","20073","20573"
"20000073","20001624","20073","20681"
"20000073","20001625","20073","20682"
"20000073","20001626","20073","20683"
"20000073","20001627","20073","20684"
"20000073","20001628","20073","20685"
"20000073","20001629","20073","20686"
"20000073","20001631","20073","20688"
"20000073","20001707","20073","20764"
"20000073","20001731","20073","20788"
"20000073","20001815","20073","20873"
"20000073","20002101","20073","21161"
"20000073","20002394","20073","35965"
"20000073","20002471","20073","47277"
"20000073","30000208","20073","30000208"
"20000073","36280700","20073","36280700"
"20000074","20000141","20074","21333"
"20000074","20000216","20074","21410"
"20000074","20000227","20074","21421"
"20000074","20000255","20074","21449"
"20000074","20000257","20074","21451"
"20000074","20000258","20074","21452"
"20000074","20000262","20074","21456"
"20000074","20000279","20074","21473"
"20000074","20000310","20074","21504"
"20000074","20000478","20074","21672"
"20000074","20000480","20074","21674"
"20000074","20000485","20074","21679"
"20000074","20000510","20074","21704"
"20000074","20000512","20074","21706"
"20000074","20000520","20074","21714"
"20000074","20000521","20074","21715"
"20000074","20000654","20074","21849"
"20000074","20000747","20074","21944"
"20000074","20000749","20074","21946"
"20000074","20000751","20074","21948"
"20000074","20000753","20074","21950"
"20000074","20000779","20074","21976"
"20000074","20000788","20074","21985"
"20000074","20000797","20074","21994"
"20000074","20000800","20074","21997"
"20000074","20000828","20074","22025"
