"TRIMID","ODSID","NAME"
"20003422","24148","Kompressor"
"20003423","24149","L 1985.5"
"20003424","24150","JA"
"20003425","24151","L 4.2 quattro"
"20003426","24152","JL"
"20003427","24153","L AWD"
"20003428","24154","JLS"
"20003429","24155","L Plus"
"20003430","24156","JLX"
"20003431","24157","L-FS"
"20003432","24158","JLX Hard Top"
"20003433","24159","L320 AAV"
"20003434","24160","JLX Sport"
"20003435","24161","L51-L"
"20003436","24162","JS"
"20003437","24163","JS Soft Top"
"20003438","24164","JX 4WD"
"20003439","24165","JX Limited Edition"
"20003440","24166","JXi"
"20003441","24167","Jolly"
"20003442","24168","K10"
"20003443","24169","K1500 Club Coupe"
"20003444","24170","K1500 Extended Cab LS"
"20003445","24171","K1500 Extended Cab SLE"
"20003446","24172","K1500 HD Crew Cab"
"20003447","24173","K1500 HD Crew Cab LT"
"20003448","24174","K1500 HD Crew Cab SLT"
"20003449","24175","K1500 LT"
"20003450","24176","K1500 SLE"
"20003451","24177","K20"
"20003452","24178","K2500 Club Coupe"
"20003453","24179","K2500 Extended Cab H/D"
"20003454","24180","K2500 Extended Cab LT"
"20003455","24181","K2500 Extended Cab SLE"
"20003456","24182","LE"
"20003457","24183","LE 2+2 Turbo"
"20003458","24184","LE 3.0L"
"20003459","24185","LE AWD"
"20003460","24186","K2500 H/D"
"20003461","24187","LE All-Trac"
"20003462","24188","K2500 H/D Extended Cab"
"20003463","24189","LE Crew Cab"
"20003464","24190","K2500 HD Crew Cab"
"20003465","24191","LE King Cab"
"20003466","24192","K2500 HD Crew Cab LT"
"20003467","24193","K2500 HD Crew Cab SLE"
"20003468","24194","LE Platinum"
"20003469","24195","LE V6"
"20003470","24196","K2500 HD Extended Cab SL"
"20003471","24197","LE-V6 4WD"
"20003472","24198","K2500 HD Extended Cab SLT"
"20003473","24199","LJ"
"20003474","24200","K2500 HD SLE"
"20003475","24201","LRV"
"20003476","24202","K2500 LS"
"20003477","24203","K2500HD"
"20003478","24204","K2500HD Extended Cab LS"
"20003479","24205","K2500HD LS"
"20003480","24206","K3500 Club Coupe"
"20003481","24207","LRV Sport"
"20003482","24208","K3500 Crew Cab LS"
"20003483","24209","LS"
"20003484","24210","K3500 Crew Cab SL"
"20003485","24211","LS 1995.5"
"20003486","24212","K3500 Crew Cab SLT"
"20003487","24213","LS 2+2 Turbo"
"20003488","24214","K3500 Extended Cab LS"
"20003489","24215","LS AWD"
"20003490","24216","K3500 Extended Cab SL"
"20003491","24217","LS Crew Cab"
"20003492","24218","K3500 Extended Cab SLT"
"20003493","24219","LS Double Cab"
"20003494","24220","K3500 SL"
"20003495","24221","KA"
"20003496","24222","LS Extended Cab Classic"
"20003497","24223","LS Extended Cab Hybrid"
"20003498","24224","LS H/D"
"20003499","24225","LS H/D Crew Cab"
"20003500","24226","LS H/D Extended Cab"
"20003501","24227","KE"
"20003502","24228","LS Long Bed"
"20003503","24229","LS Premium"
"20003504","24230","King Cab 4WD"
"20003505","24231","LS Short Bed 4WD"
"20003506","24232","King Cab Special"
"20003507","24233","LS Special"
"20003508","24234","King Ranch Styleside Super Crew"
"20003509","24235","LS Sport"
"20003510","24236","King Ranch SuperCrew"
"20003511","24237","Komfort"
"20003512","24238","LS-L 25th Anniversary"
"20003513","24239","L"
"20003514","24240","LS2 Crew Cab Classic"
"20003515","24241","L 25th Anniversary"
"20003516","24242","LS2 Crew Cab Sport Classic"
"20003517","24243","LS3-H"
"20003518","24244","LSC"
"20003519","24245","LSE 4WD"
"20003520","24246","LSi"
"20003521","24247","LSi AWD"
"20003522","24248","LSi Hardtop 4WD"
"20003523","24249","LSi Soft Top 4WD"
"20003524","24250","L 4WD"
"20003525","24251","LT 50th Anniversary"
"20003526","24252","L AWD 25th Anniversary"
"20003527","24253","LT Crew Cab"
"20003528","24254","L Sport"
"20003529","24255","LT Extended Cab"
"20003530","24256","L.L.Bean Edition"
"20003531","24257","LT H/D Crew Cab"
"20003532","24258","L430 AAV"
"20003533","24259","LT Panel"
"20003534","24260","LC"
"20003535","24261","LT1 Classic"
"20003536","24262","LE 2+2"
"20003537","24263","LE 2.5L"
"20003538","24264","LE 4WD"
"20003539","24265","LE Aerocoupe"
"20003540","24266","LT1 Crew Cab Classic"
"20003541","24267","LE Cab Plus"
"20003542","24268","LT1 Extended Cab Classic"
"20003543","24269","LE III"
"20003544","24270","LT1 Extended Cab Hybrid"
"20003545","24271","LE Limited"
"20003546","24272","LT1 H/D Crew Cab"
"20003547","24273","LE Sport"
"20003548","24274","LT1 H/D Extended Cab"
"20003549","24275","LE-V6"
"20003550","24276","LT1 Hybrid Extended Cab"
"20003551","24277","LE-V6 Crew Cab"
"20003552","24278","LT2 Crew Cab Classic"
"20003553","24279","LP640"
